### 直接加载测试（角色专属材质）
    合计: 可加载=82  加载失败=0

===== 张知远_可动
    Head_F_head.002_mesh | F_head.002_mesh | skin_mat_base_F_face | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | brow_mat_eyelashes | shader=Universal Render Pipeline/Unlit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | mat_base_eye.001 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | mat_eye_highlight | shader=Universal Render Pipeline/Lit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | mat_base_mouth | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.002_mesh | F_head.002_mesh | brow_mat_eyebrows | shader=Universal Render Pipeline/Lit | supported=True
    Top_F_top_005_shirt+vest | F_top_005_shirt+vest | top_mat_top.005_shirt_vest | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Bot_F_bot_005_shorts | F_bot_005_shorts | bot_mat_bot.005_shorts | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Shoes_shoes.005_highboots | shoes.005_highboots | shoes_mat_shoes.005_highboots | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
===== 舍友B_可动
    hair_curly.002 mesh | hair_curly.002 mesh | hair_mat_hair_curly.002 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    bangs.003 | bangs.003 | hair_mat_hair_bangs.003 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_arms_lower | F_body_arms_lower | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_arms_upper | F_body_arms_upper | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
